timestamp,symbol,price,bid,ask,volume
1704067200000,BTC/USD,64942.75,64942.38,64943.11,3.29
1704067205000,BTC/USD,64803.91,64803.26,64804.56,1.89
1704067210000,BTC/USD,64660.69,64660.06,64661.32,0.28
1704067215000,BTC/USD,64639.24,64638.94,64639.54,0.54
1704067220000,BTC/USD,64614.85,64613.98,64615.72,0.71
1704067225000,BTC/USD,64525.43,64524.71,64526.15,4.74
1704067230000,BTC/USD,64550.31,64549.76,64550.85,4.88
1704067235000,BTC/USD,64403.97,64403.07,64404.86,1.52
1704067240000,BTC/USD,64289.41,64289.07,64289.75,1.61
1704067245000,BTC/USD,64391.03,64390.64,64391.41,2.95
1704067250000,BTC/USD,64435.75,64435.22,64436.28,2.78
1704067255000,BTC/USD,64294.89,64294.60,64295.18,1.11
1704067260000,BTC/USD,64352.88,64352.31,64353.45,1.64
1704067265000,BTC/USD,64380.41,64379.82,64381.00,1.57
1704067270000,BTC/USD,64475.18,64474.40,64475.95,1.30
1704067275000,BTC/USD,64499.17,64498.52,64499.81,4.39
1704067280000,BTC/USD,64573.16,64572.70,64573.63,4.90
1704067285000,BTC/USD,64449.85,64449.29,64450.41,3.81
1704067290000,BTC/USD,64337.70,64337.09,64338.32,0.29
1704067295000,BTC/USD,64391.82,64390.99,64392.64,2.91
1704067300000,BTC/USD,64512.70,64512.22,64513.19,3.51
1704067305000,BTC/USD,64543.14,64542.46,64543.83,2.34
1704067310000,BTC/USD,64652.86,64651.90,64653.82,2.42
1704067315000,BTC/USD,64705.92,64705.63,64706.22,3.54
1704067320000,BTC/USD,64753.52,64752.53,64754.52,4.13
1704067325000,BTC/USD,64683.78,64683.24,64684.32,3.38
1704067330000,BTC/USD,64529.37,64528.77,64529.97,0.92
1704067335000,BTC/USD,64405.83,64405.53,64406.12,3.86
1704067340000,BTC/USD,64286.46,64286.03,64286.90,2.02
1704067345000,BTC/USD,64405.85,64405.54,64406.16,2.30
1704067350000,BTC/USD,64421.77,64420.86,64422.68,4.11
1704067355000,BTC/USD,64539.01,64538.55,64539.47,2.13
1704067360000,BTC/USD,64493.44,64492.53,64494.35,4.79
1704067365000,BTC/USD,64380.87,64380.49,64381.26,1.24
1704067370000,BTC/USD,64295.03,64294.42,64295.65,2.99
1704067375000,BTC/USD,64218.76,64218.51,64219.02,2.15
1704067380000,BTC/USD,64176.78,64176.11,64177.45,4.77
1704067385000,BTC/USD,64237.91,64237.27,64238.54,3.13
1704067390000,BTC/USD,64294.50,64294.21,64294.79,4.51
1704067395000,BTC/USD,64384.50,64383.60,64385.41,4.01
1704067400000,BTC/USD,64349.86,64349.31,64350.41,0.61
1704067405000,BTC/USD,64393.06,64392.77,64393.36,0.43
1704067410000,BTC/USD,64299.30,64298.92,64299.67,1.77
1704067415000,BTC/USD,64155.45,64155.20,64155.70,0.84
1704067420000,BTC/USD,64027.61,64027.09,64028.13,0.22
1704067425000,BTC/USD,64147.45,64146.74,64148.16,0.83
1704067430000,BTC/USD,64067.99,64067.48,64068.50,1.88
1704067435000,BTC/USD,63947.17,63946.28,63948.06,4.97
1704067440000,BTC/USD,63936.29,63935.68,63936.91,0.52
1704067445000,BTC/USD,63809.12,63808.61,63809.63,1.40
1704067450000,BTC/USD,63914.04,63913.67,63914.41,0.21
1704067455000,BTC/USD,64058.16,64057.52,64058.81,0.82
1704067460000,BTC/USD,64071.99,64071.72,64072.26,2.69
1704067465000,BTC/USD,64225.28,64224.39,64226.18,3.51
1704067470000,BTC/USD,64148.57,64148.05,64149.10,0.92
1704067475000,BTC/USD,64235.79,64235.14,64236.44,3.92
1704067480000,BTC/USD,64181.09,64180.67,64181.50,4.08
1704067485000,BTC/USD,64336.70,64335.81,64337.59,4.05
1704067490000,BTC/USD,64439.10,64438.30,64439.91,1.21
1704067495000,BTC/USD,64444.79,64444.27,64445.30,0.24
1704067500000,BTC/USD,64292.68,64292.22,64293.14,1.37
1704067505000,BTC/USD,64354.56,64353.60,64355.53,2.29
1704067510000,BTC/USD,64495.19,64494.20,64496.18,4.78
1704067515000,BTC/USD,64451.53,64451.12,64451.95,1.21
1704067520000,BTC/USD,64353.80,64353.39,64354.20,3.16
1704067525000,BTC/USD,64482.60,64481.72,64483.48,2.45
1704067530000,BTC/USD,64531.92,64531.08,64532.77,0.52
1704067535000,BTC/USD,64583.74,64582.81,64584.67,3.93
1704067540000,BTC/USD,64664.51,64663.91,64665.12,0.97
1704067545000,BTC/USD,64758.00,64757.50,64758.50,4.02
1704067550000,BTC/USD,64910.72,64910.17,64911.26,2.07
1704067555000,BTC/USD,65055.73,65054.93,65056.52,0.93
1704067560000,BTC/USD,64934.41,64934.05,64934.77,4.53
1704067565000,BTC/USD,65033.92,65033.56,65034.28,4.15
1704067570000,BTC/USD,65190.10,65189.36,65190.85,1.82
1704067575000,BTC/USD,65205.96,65205.62,65206.31,0.17
1704067580000,BTC/USD,65359.49,65358.75,65360.23,2.68
1704067585000,BTC/USD,65501.20,65500.62,65501.77,4.37
1704067590000,BTC/USD,65608.01,65607.60,65608.42,1.33
1704067595000,BTC/USD,65540.10,65539.67,65540.53,2.97
1704067600000,BTC/USD,65461.24,65460.68,65461.81,0.74
1704067605000,BTC/USD,65595.44,65594.93,65595.96,2.34
1704067610000,BTC/USD,65622.78,65621.85,65623.71,2.16
1704067615000,BTC/USD,65759.84,65759.21,65760.47,2.71
1704067620000,BTC/USD,65767.57,65767.30,65767.83,2.26
1704067625000,BTC/USD,65663.36,65663.11,65663.62,4.02
1704067630000,BTC/USD,65555.79,65555.18,65556.39,3.65
1704067635000,BTC/USD,65574.30,65573.81,65574.79,2.64
1704067640000,BTC/USD,65592.48,65591.64,65593.32,0.62
1704067645000,BTC/USD,65612.25,65611.82,65612.69,1.46
1704067650000,BTC/USD,65701.57,65700.94,65702.20,2.85
1704067655000,BTC/USD,65786.98,65786.05,65787.91,2.27
