timestamp,symbol,price,bid,ask,volume
1704067200000,ETH/USD,3495.12,3494.62,3495.62,2.20
1704067205000,ETH/USD,3494.11,3493.89,3494.33,3.65
1704067210000,ETH/USD,3502.54,3502.25,3502.83,4.29
1704067215000,ETH/USD,3500.80,3500.53,3501.07,4.03
1704067220000,ETH/USD,3509.04,3508.64,3509.44,3.55
1704067225000,ETH/USD,3514.78,3514.31,3515.25,4.77
1704067230000,ETH/USD,3515.34,3515.08,3515.59,0.13
1704067235000,ETH/USD,3515.81,3515.57,3516.05,0.10
1704067240000,ETH/USD,3524.48,3524.25,3524.70,4.67
1704067245000,ETH/USD,3515.94,3515.70,3516.19,3.94
1704067250000,ETH/USD,3518.99,3518.62,3519.36,2.49
1704067255000,ETH/USD,3511.80,3511.36,3512.23,3.83
1704067260000,ETH/USD,3511.41,3511.08,3511.73,4.04
1704067265000,ETH/USD,3511.31,3511.02,3511.60,2.47
1704067270000,ETH/USD,3515.45,3515.06,3515.85,1.74
1704067275000,ETH/USD,3520.31,3520.06,3520.56,3.40
1704067280000,ETH/USD,3518.15,3517.69,3518.61,4.71
1704067285000,ETH/USD,3523.04,3522.78,3523.29,1.82
1704067290000,ETH/USD,3521.86,3521.52,3522.21,0.27
1704067295000,ETH/USD,3522.66,3522.19,3523.13,0.41
1704067300000,ETH/USD,3529.55,3529.22,3529.88,4.99
1704067305000,ETH/USD,3533.49,3533.10,3533.88,3.79
1704067310000,ETH/USD,3532.10,3531.95,3532.24,4.29
1704067315000,ETH/USD,3538.76,3538.37,3539.15,1.17
1704067320000,ETH/USD,3538.75,3538.44,3539.05,1.88
1704067325000,ETH/USD,3538.56,3538.28,3538.84,4.90
1704067330000,ETH/USD,3540.81,3540.32,3541.30,4.55
1704067335000,ETH/USD,3535.10,3534.69,3535.50,1.97
1704067340000,ETH/USD,3536.82,3536.49,3537.14,3.72
1704067345000,ETH/USD,3533.29,3532.92,3533.66,1.91
1704067350000,ETH/USD,3538.28,3537.98,3538.58,3.25
1704067355000,ETH/USD,3547.07,3546.85,3547.28,0.12
1704067360000,ETH/USD,3554.08,3553.77,3554.39,3.27
1704067365000,ETH/USD,3559.96,3559.50,3560.41,1.99
1704067370000,ETH/USD,3568.63,3568.37,3568.89,3.66
1704067375000,ETH/USD,3574.55,3574.31,3574.80,2.16
1704067380000,ETH/USD,3572.16,3571.93,3572.40,2.12
1704067385000,ETH/USD,3578.38,3578.25,3578.50,4.95
1704067390000,ETH/USD,3583.58,3583.25,3583.90,3.25
1704067395000,ETH/USD,3579.99,3579.58,3580.39,4.38
1704067400000,ETH/USD,3577.87,3577.57,3578.17,1.17
1704067405000,ETH/USD,3573.41,3572.97,3573.85,3.25
1704067410000,ETH/USD,3572.47,3572.11,3572.82,1.01
1704067415000,ETH/USD,3563.60,3563.36,3563.85,2.92
1704067420000,ETH/USD,3557.98,3557.67,3558.30,1.69
1704067425000,ETH/USD,3553.76,3553.36,3554.16,1.87
1704067430000,ETH/USD,3558.06,3557.67,3558.46,1.94
1704067435000,ETH/USD,3549.73,3549.30,3550.17,2.80
1704067440000,ETH/USD,3551.15,3550.78,3551.53,2.79
1704067445000,ETH/USD,3558.38,3558.28,3558.49,4.85
1704067450000,ETH/USD,3560.45,3560.19,3560.71,4.55
1704067455000,ETH/USD,3567.49,3567.15,3567.83,0.15
1704067460000,ETH/USD,3569.69,3569.43,3569.96,2.91
1704067465000,ETH/USD,3575.59,3575.44,3575.74,4.24
1704067470000,ETH/USD,3572.20,3572.00,3572.40,0.28
1704067475000,ETH/USD,3565.18,3564.97,3565.38,2.69
1704067480000,ETH/USD,3573.02,3572.85,3573.19,1.52
1704067485000,ETH/USD,3570.75,3570.39,3571.11,1.83
1704067490000,ETH/USD,3573.78,3573.62,3573.94,0.31
1704067495000,ETH/USD,3575.21,3574.82,3575.60,0.76
1704067500000,ETH/USD,3567.13,3566.76,3567.49,0.42
1704067505000,ETH/USD,3574.72,3574.34,3575.10,0.89
1704067510000,ETH/USD,3573.10,3572.98,3573.22,0.53
1704067515000,ETH/USD,3570.46,3570.01,3570.91,4.56
1704067520000,ETH/USD,3574.98,3574.62,3575.33,2.96
1704067525000,ETH/USD,3575.17,3574.81,3575.53,2.53
1704067530000,ETH/USD,3573.34,3572.91,3573.78,1.57
1704067535000,ETH/USD,3571.66,3571.29,3572.03,4.82
1704067540000,ETH/USD,3568.88,3568.61,3569.16,2.07
1704067545000,ETH/USD,3563.71,3563.47,3563.95,3.97
1704067550000,ETH/USD,3558.15,3557.86,3558.44,1.49
1704067555000,ETH/USD,3559.54,3559.13,3559.95,0.67
1704067560000,ETH/USD,3559.30,3559.12,3559.47,3.27
1704067565000,ETH/USD,3562.46,3562.27,3562.65,1.23
1704067570000,ETH/USD,3558.95,3558.72,3559.18,4.47
1704067575000,ETH/USD,3565.61,3565.19,3566.02,2.03
1704067580000,ETH/USD,3564.84,3564.66,3565.02,2.36
1704067585000,ETH/USD,3572.88,3572.74,3573.02,2.03
1704067590000,ETH/USD,3567.44,3567.00,3567.88,1.58
1704067595000,ETH/USD,3567.21,3567.09,3567.33,3.48
1704067600000,ETH/USD,3567.46,3567.04,3567.88,3.64
1704067605000,ETH/USD,3571.82,3571.61,3572.02,1.33
